"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"23.20833" 479.650299052527 -345.756966978173 1305.05756508323 -503.883121484212 1463.18371958927
"23.25000" 748.520091671397 -76.8883080567308 1573.92849139953 -235.014679749149 1732.05486309194
"23.29167" 642.732112378815 -182.676765056684 1468.14098981431 -340.803228265172 1626.2674530228
"23.33333" 1334.92070164197 509.511622914874 2160.32978036907 351.38512114425 2318.4562821397
"23.37500" 1358.05489700426 532.645733460322 2183.46406054819 374.519215441041 2341.59057856747
"23.41667" 975.422814446657 150.013615167475 1800.83201372584 -8.11290969773256 1958.95853859105
"23.45833" 1294.46901991452 469.059805587416 2119.87823424162 310.933277839426 2278.00476198961
"23.50000" 1008.40601413808 182.996793493716 1833.81523478245 24.8702645355054 1991.94176374066
"23.54167" 1007.25520806426 181.845984813761 1832.66443131476 23.7194553562845 1990.79096077223
"23.58333" 1099.71329834895 274.304074132695 1925.12252256521 116.177544490204 2083.2490522077
"23.62500" 1092.18710865061 266.777884341588 1917.59633295962 108.651354681328 2075.72286261988
"23.66667" 1408.50951243144 583.100288828968 2233.91873603391 424.973759304063 2392.04526555881
"23.70833" 1106.40767109475 280.998449559541 1931.81689262997 122.871920430668 2089.94342175884
"23.75000" 968.941043803773 143.531827339133 1794.35026026841 -14.5947008183523 1952.4767884259
"23.79167" 1267.15589681529 441.746692453513 2092.56510117707 283.620166614615 2250.69162701597
"23.83333" 1305.87247703154 480.463301421588 2131.28165264148 322.336781090779 2289.40817297229
"x"
"1" "======"
"x"
"1" "house: 4"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"20.87500" 2564.49913608018 1438.43170474163 3690.56656741874 1222.70703164984 3906.29124051053
"20.91667" 2658.90038078477 1207.16471086667 4110.63605070288 929.050635196708 4388.75012637284
"20.95833" 1848.96601707575 293.246023713368 3404.68601043813 -4.7886921930517 3702.72072634455
