----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:46:16| 31   1  19  50   0|2899M  132M 4320k 4773M|  22M   12k
09-06 19:46:17| 30   0  19  51   0|2899M  125M 4320k 4780M|  22M   68k
09-06 19:46:18| 28   1  27  43   0|2898M  133M 4320k 4773M|  22M   76k
09-06 19:46:19| 29   1  21  50   0|2897M  127M 4320k 4780M|  22M   52k
09-06 19:46:20| 29   1  18  53   0|2898M  135M 4320k 4771M|  21M   92k
09-06 19:46:21| 31   1  26  42   0|2896M  130M 4320k 4778M|  21M   44k
09-06 19:46:22| 31   1  19  50   0|2896M  126M 4320k 4782M|  22M   56k
09-06 19:46:23| 30   1  23  46   0|2896M  134M 4320k 4774M|  22M   80k
09-06 19:46:24| 28   1  16  55   0|2895M  129M 4320k 4781M|  22M   40k
09-06 19:46:25| 29   1  14  56   0|2894M  123M 4320k 4787M|  22M   77k
09-06 19:46:26| 29   0  31  40   0|2894M  132M 4320k 4779M|  22M   88k
09-06 19:46:27| 20   1  20  58   0|2894M  123M 4320k 4788M|9848k 9208B
09-06 19:46:28| 28   1  18  52   0|2894M  134M 4304k 4776M|  21M   84k
09-06 19:46:29| 44   1  17  39   0|2892M  128M 4288k 4784M|  23M   61k
09-06 19:46:30| 31   1  12  56   0|2892M  123M 4272k 4789M|  21M   72k
09-06 19:46:31| 29   1  25  45   0|2894M  135M 4240k 4775M|  22M  112k
09-06 19:46:32| 31   0  20  47   0|2893M  129M 4224k 4783M|  22M   28k
09-06 19:46:33| 29   1  13  57   0|2892M  126M 4208k 4787M|  22M   64k
09-06 19:46:34| 30   1  23  46   0|2891M  134M 4176k 4779M|  22M  100k
09-06 19:46:35| 29   1  21  50   0|2891M  128M 4160k 4785M|  22M   60k
09-06 19:46:36| 29   0  21  49   0|2889M  123M 4144k 4792M|  22M   44k
09-06 19:46:37| 30   0   8  60   0|2887M  133M 4112k 4784M|  22M   96k
09-06 19:46:38| 29   1   4  66   0|2886M  127M 4096k 4792M|  22M   48k
09-06 19:46:39| 29   1  10  61   0|2884M  122M 4080k 4798M|  22M   52k
09-06 19:46:40| 32   0  23  44   0|2883M  132M 4048k 4790M|  22M  140k
09-06 19:46:41| 29   1  23  47   0|2882M  125M 4032k 4797M|  22M    0 
09-06 19:46:42| 29   1  26  43   0|2881M  134M 4000k 4789M|  22M   96k
09-06 19:46:43| 28   1  24  47   0|2880M  132M 3984k 4793M|  22M   64k
09-06 19:46:44| 30   1  13  55   0|2880M  125M 3968k 4800M|  22M   44k
09-06 19:46:45| 29   1  29  42   0|2879M  134M 3936k 4791M|  21M  104k
09-06 19:46:46| 30   0  22  46   0|2879M  127M 3920k 4798M|  22M   48k
09-06 19:46:47| 28   1  11  60   0|2879M  125M 3904k 4801M|  22M   76k
09-06 19:46:48| 28   1  27  45   0|2878M  134M 3872k 4793M|  22M   84k
09-06 19:46:49| 31   0  19  49   0|2877M  128M 3856k 4800M|  21M   40k
09-06 19:46:50| 29   1  23  47   0|2876M  123M 3840k 4806M|  22M   44k
09-06 19:46:51| 27   0  29  43   0|2875M  131M 3808k 4798M|  21M   92k
